Czech,English
být,be
a,and
se,with
v,in
na,on
ten,the
s,with
že,that
on,he
z,from
který,who
mít,have
do,to
o,O
ale,but
k,to
i,and
já,I
jako,like
moci,can
svůj,its
za,for
pro,for
rok,year
tak,so
po,after
oni,they
co,what
když,when
tento,this
už,already
všechen,all
jak,as
od,from
aby,that
nebo,or
jeho,his
jen,just
jeden,one
člověk,human
u,at
muset,have to
velký,large
chtít,want
jenž,that
my,we
říci,say
než,than
pak,then
jít,go
při,at
vědět,know
také,also
dva,two
další,other
před,before
stát,state
nový,new
vy,you
celý,whole
ještě,still
ani,or
hodně,much
její,its
jiný,other
můj,my
první,first
jejich,their
až,until
podle,according to
dobrý,good
mezi,between
kde,where
ty,you
však,however
dát,give
tam,PUSH
náš,our
den,day
každý,each
něco,something
doba,time
druhý,second
protože,because
dítě,child
ne,No
takový,such
vidět,see
říkat,say
nic,nothing
začít,start
život,life
český,Czech
místo,place
či,whose
malý,small
bez,without
ruka,hand
nějaký,some
kdy,when
sám,alone
teď,now
pokud,if
dobře,good
dostat,get
myslet,to think
práce,work
pod,under
strana,page
svět,world
tedy,therefore
přijít,come
například,for example
vysoký,high
země,country
tenhle,this one
tři,three
čas,time
dělat,do
žena,woman
žádný,no
muž,man
případ,case
kdo,who
třeba,perhaps
starý,old
hlava,head
několik,several
velmi,very
oko,eye
nad,over
město,city
poslední,last
cesta,way
některý,some
asi,about
jaký,what
právě,just
přes,over
dům,house
proto,therefore
věc,thing
tu,here
voda,water
společnost,company
najít,find
nikdy,never
již,already
brzy,soon
část,part
což,which
udělat,do
vlastní,own
dokázat,prove
chvíle,moment
systém,system
kdyby,if
hodina,hour
proč,why
stejně,anyway
takže,so
často,often
dnes,today
slovo,word
tady,here
až,until
lze,can be
nechat,let
problém,problem
někdo,someone
oba,both
možný,possible
vůbec,at all
cena,price
proti,against
Praha,Prague
rád,order
stále,still
řada,advice
možná,maybe
škola,school
pouze,only
hrát,play
jestli,if
nikdo,no one
firma,firm
mladý,young
totiž,namely
různý,different
čekat,wait
mluvit,speak
dlouhý,long
kolem,around
váš,your
málo,little
jediný,only
vrátit,return
zase,again
snažit,to try
konec,end
vypadat,look
koruna,crown
pohled,view
vzít,take
dokonce,even
patřit,belong
způsob,way
hlavní,main
zůstat,remain
dveře,door
možnost,possibility
vést,lead
oblast,region
moc,urine
potřebovat,need
stejný,same
milión,million
pozdě,late
důležitý,important
žít,live
znát,know
trochu,a little
nakonec,eventually
peníze,money
taky,too
tělo,body
daleko,far
situace,situation
stát,state
otázka,question
kniha,book
kvůli,due to
skupina,group
znovu,again
navíc,additionally
cítit,feel
ovšem,however
ano,Yes
dojít,milk
pan,Mr
otec,father
tisíc,thousand
mnoho,many
rodina,family
ostatní,other
měsíc,month
čtyři,four
především,primarily
získat,gain
matka,mother
hned,brown
změna,change
dále,further
během,during
jméno,name
projekt,project
pár,few
znamenat,mean
týden,week
pracovat,work
zde,here
dlouho,long
auto,car
snad,perhaps
tvář,face
zeptat,to ask
výsledek,result
díky,Thanks
někdy,sometimes
většina,most
úplně,completely
příliš,too
slyšet,hear
rychle,quick
nyní,now
li,if
pět,five
téměř,almost
podívat,to look
co,what
známý,known
ještě,still
noc,night
síla,force
vztah,relationship
noha,foot
dost,enough
spíš,file
program,program
rozhodnout,decide
přece,after all
vlastně,actually
hlas,voice
jenom,only
důvod,reason
hra,game
film,film
opravdu,really
minuta,minute
pořád,always
samozřejmě,Of course
nejen,not only
informace,information
objevit,discover
prostor,space
přitom,while
pravda,truth
ukázat,show
služba,service
Kč,CZK
existovat,exist
vždy,always
uvést,to state
evropský,European
sedět,sit
zcela,completely
přímo,direct
druh,species
století,century
jistý,sure
základní,basic
stačit,suffice
kromě,besides
pomoci,help
potom,then
jinak,otherwise
bílý,white
tehdy,then
plný,full
